Temperature,Rainfall,Humidity,Moisture,Potassium,Phosphorus,Crop
23,221,79,397,244,266,Rice
16,86,85,625,244,46,Tomato
23,68,51,421,243,229,Wheat
15,47,62,422,298,430,Barley
26,91,32,367,294,20,chile
25,274,70,395,125,146,Rice
16,103,80,523,260,131,Tomato
24,99,53,406,361,248,Wheat
17,44,66,394,411,388,Barley
19,91,40,362,275,35,chile
25,343,78,402,227,325,Rice
13,76,83,544,285,323,Tomato
23,52,60,417,198,227,Wheat
13,42,66,420,432,382,Barley
25,92,37,351,243,31,chile
25,296,74,423,233,285,Rice
14,104,89,462,275,328,Tomato
22,69,53,414,177,213,Wheat
27,48,64,396,361,323,Barley
22,108,40,308,209,26,chile
25,264,72,430,139,259,Rice
16,82,86,554,276,271,Tomato
23,92,57,410,177,230,Wheat
24,46,67,410,422,374,Barley
26,91,35,332,278,29,chile
21,261,66,397,156,55,Rice
15,134,88,493,218,195,Tomato
24,55,53,419,132,238,Wheat
20,50,62,390,438,346,Barley
25,99,32,306,306,31,chile
23,336,64,419,207,194,Rice
15,85,81,625,250,36,Tomato
21,46,50,418,207,232,Wheat
7,44,63,380,439,246,Barley
19,105,39,354,208,45,chile
24,328,70,409,134,231,Rice
16,122,79,545,241,56,Tomato
22,92,50,406,388,210,Wheat
13,47,67,398,449,253,Barley
19,96,32,335,308,43,chile
23,184,76,405,69,233,Rice
14,121,75,453,226,343,Tomato
22,72,51,428,311,290,Wheat
8,46,61,382,309,295,Barley
19,96,34,325,292,41,chile
23,294,68,399,220,168,Rice
16,148,76,621,257,219,Tomato
24,35,54,441,207,205,Wheat
14,49,68,412,375,290,Barley
18,95,38,313,226,29,chile
23,349,62,407,157,298,Rice
13,145,75,566,204,349,Tomato
24,69,55,449,171,220,Wheat
26,45,64,394,397,312,Barley
23,82,35,397,290,36,chile
24,183,65,428,159,148,Rice
13,144,81,477,236,211,Tomato
22,60,55,420,384,253,Wheat
10,49,68,380,366,427,Barley
25,83,33,349,265,40,chile
24,304,62,412,237,299,Rice
16,92,79,465,271,71,Tomato
22,52,53,413,178,282,Wheat
24,45,66,422,447,423,Barley
21,116,33,396,221,17,chile
21,335,61,422,199,307,Rice
15,115,78,478,228,318,Tomato
24,35,57,433,143,206,Wheat
14,45,69,424,338,420,Barley
25,102,31,352,317,46,chile
22,341,64,388,152,88,Rice
13,77,85,537,281,340,Tomato
24,47,60,440,304,246,Wheat
14,43,64,416,341,239,Barley
23,116,38,368,304,36,chile
24,341,72,416,221,249,Rice
16,117,77,589,209,236,Tomato
21,82,56,403,153,224,Wheat
15,44,61,409,301,404,Barley
22,87,39,337,243,30,chile
27,291,66,383,256,72,Rice
15,136,84,467,190,68,Tomato
23,32,50,413,181,215,Wheat
16,48,68,417,450,326,Barley
22,103,37,348,217,18,chile
23,282,78,427,243,258,Rice
13,143,77,597,283,129,Tomato
21,47,58,416,193,235,Wheat
22,43,60,397,379,315,Barley
19,112,33,362,294,31,chile
21,298,69,413,155,71,Rice
13,102,83,469,233,284,Tomato
23,86,55,427,390,277,Wheat
18,46,60,426,445,385,Barley
18,80,37,338,330,33,chile
22,176,64,429,65,155,Rice
16,131,80,599,277,307,Tomato
23,98,59,445,323,211,Wheat
20,44,63,398,303,414,Barley
21,97,35,328,278,46,chile
27,278,65,414,229,232,Rice
15,134,85,540,201,26,Tomato
24,48,56,444,362,243,Wheat
8,39,70,414,366,360,Barley
25,91,39,343,220,45,chile
24,336,67,422,239,299,Rice
15,131,83,518,234,148,Tomato
23,62,50,430,391,226,Wheat
15,46,68,389,299,382,Barley
20,99,39,360,309,21,chile
23,210,64,395,256,210,Rice
13,72,76,549,216,348,Tomato
23,42,52,436,139,197,Wheat
23,41,69,387,361,398,Barley
23,89,35,400,259,27,chile
26,301,71,390,221,315,Rice
14,149,86,484,258,337,Tomato
21,47,59,419,335,204,Wheat
6,43,61,417,332,371,Barley
19,95,36,373,256,21,chile
22,266,77,400,89,289,Rice
13,140,76,635,233,42,Tomato
23,74,56,404,197,229,Wheat
15,39,63,380,425,339,Barley
19,82,30,360,250,37,chile
24,194,63,406,62,263,Rice
16,142,83,476,231,296,Tomato
22,66,60,433,334,214,Wheat
8,40,69,401,445,272,Barley
24,100,35,341,268,33,chile
22,219,76,425,226,159,Rice
13,83,83,650,238,91,Tomato
24,94,60,424,317,198,Wheat
17,48,60,401,391,329,Barley
21,88,39,328,193,28,chile
23,232,63,411,201,315,Rice
14,113,87,639,223,43,Tomato
21,67,53,431,356,219,Wheat
27,39,64,402,350,427,Barley
25,93,40,317,223,18,chile
21,181,80,398,225,191,Rice
16,101,79,469,209,284,Tomato
24,52,55,413,342,231,Wheat
10,49,69,388,422,408,Barley
22,88,40,367,266,38,chile
25,305,64,419,238,299,Rice
15,98,78,532,259,186,Tomato
21,75,57,413,351,278,Wheat
11,40,66,417,326,243,Barley
21,112,32,376,299,21,chile
25,217,65,400,203,124,Rice
16,77,86,567,213,100,Tomato
22,82,54,422,183,194,Wheat
18,50,60,421,336,267,Barley
22,80,36,364,334,21,chile
25,205,64,419,168,194,Rice
16,67,89,499,264,140,Tomato
21,60,54,415,357,227,Wheat
15,39,68,411,281,252,Barley
26,111,34,356,302,36,chile
26,316,70,410,161,319,Rice
13,135,89,480,289,59,Tomato
23,62,59,401,124,236,Wheat
27,48,61,430,393,417,Barley
19,99,38,364,209,27,chile
24,192,79,388,165,256,Rice
15,136,89,636,229,356,Tomato
23,55,58,436,162,212,Wheat
22,41,67,397,345,348,Barley
26,90,39,349,242,34,chile
24,347,65,399,201,243,Rice
14,109,85,650,241,339,Tomato
24,64,58,407,381,201,Wheat
23,45,66,402,434,260,Barley
22,82,31,359,196,25,chile
24,189,72,411,184,58,Rice
14,129,77,530,276,292,Tomato
22,42,57,437,331,226,Wheat
20,47,65,423,407,427,Barley
22,98,35,346,337,20,chile
26,328,78,411,188,187,Rice
13,132,82,644,220,199,Tomato
21,34,56,442,348,210,Wheat
19,39,62,426,381,241,Barley
22,105,31,370,265,39,chile
24,310,74,405,217,216,Rice
13,136,86,477,279,228,Tomato
21,86,52,426,197,264,Wheat
12,47,68,418,381,283,Barley
18,96,31,346,316,40,chile
25,267,62,396,125,100,Rice
15,80,82,644,263,340,Tomato
21,40,55,449,187,280,Wheat
22,45,68,416,447,346,Barley
18,105,39,362,321,22,chile
24,321,75,412,60,184,Rice
13,66,83,542,242,286,Tomato
24,88,51,400,222,222,Wheat
9,47,68,427,381,405,Barley
22,80,35,360,211,46,chile
24,276,65,396,140,215,Rice
13,81,83,523,226,121,Tomato
24,38,57,414,394,257,Wheat
10,44,64,389,296,259,Barley
22,87,32,319,337,26,chile
27,323,64,397,99,262,Rice
16,144,76,640,199,257,Tomato
22,84,50,448,142,239,Wheat
16,40,68,410,312,278,Barley
18,113,38,338,249,27,chile
22,269,66,427,176,59,Rice
13,126,85,633,278,255,Tomato
24,46,54,400,230,262,Wheat
24,41,68,429,320,431,Barley
18,120,37,319,212,46,chile
23,328,63,408,75,167,Rice
14,101,79,591,291,249,Tomato
22,96,58,434,324,230,Wheat
7,45,60,385,329,391,Barley
24,103,38,388,269,46,chile
22,345,69,428,109,194,Rice
16,85,85,643,219,140,Tomato
24,75,54,429,392,222,Wheat
10,48,65,390,290,432,Barley
26,85,37,364,214,18,chile
24,222,70,425,184,165,Rice
16,124,78,569,271,82,Tomato
23,85,55,408,150,288,Wheat
14,41,64,420,432,346,Barley
20,114,40,367,228,37,chile
26,302,80,406,193,150,Rice
15,86,81,649,259,339,Tomato
22,56,53,444,189,254,Wheat
20,47,65,427,326,403,Barley
23,102,40,373,277,44,chile
24,330,68,389,212,315,Rice
13,147,79,578,272,148,Tomato
24,56,53,433,374,198,Wheat
21,39,61,399,349,364,Barley
24,107,35,378,238,44,chile
22,213,80,399,209,202,Rice
16,128,77,456,227,189,Tomato
22,35,57,410,208,239,Wheat
27,49,64,396,325,245,Barley
22,110,39,360,225,19,chile
22,300,72,386,152,304,Rice
15,60,87,629,232,300,Tomato
22,62,57,443,129,196,Wheat
21,48,61,405,415,429,Barley
22,104,37,395,234,46,chile
21,251,67,383,190,193,Rice
15,88,83,517,198,313,Tomato
23,89,52,426,256,276,Wheat
7,50,68,382,372,414,Barley
22,91,38,305,205,18,chile
26,217,71,401,229,136,Rice
16,125,87,542,203,324,Tomato
21,96,57,430,163,283,Wheat
9,45,64,387,419,316,Barley
18,103,37,367,254,34,chile
26,346,78,389,143,144,Rice
16,67,85,588,232,69,Tomato
22,30,51,427,297,231,Wheat
7,39,61,414,332,331,Barley
23,106,39,312,248,17,chile
26,224,73,385,135,285,Rice
14,119,82,643,218,154,Tomato
23,55,50,429,161,252,Wheat
11,46,67,380,447,295,Barley
19,85,33,330,211,25,chile
24,237,73,398,113,183,Rice
15,136,85,484,196,312,Tomato
21,53,55,416,393,234,Wheat
20,39,67,428,341,430,Barley
